category,Text
tech, tv futur hand viewer home theatr system plasma high definit tv digit video record move live room way peopl watch tv radic differ five year time accord expert panel gather annual consum electron show la vega discuss new technolog impact one favourit pastim us lead trend programm content deliv viewer via home network cabl satellit telecom compani broadband servic provid front room portabl devic one talk technolog ce digit person video record dvr pvr set top box like us tivo uk sky system allow peopl record store play paus forward wind tv programm want essenti technolog allow much personalis tv also built high definit tv set big busi japan us slower take europ lack high definit program peopl forward wind advert also forget abid network channel schedul put togeth la cart entertain us network cabl satellit compani worri mean term advertis revenu well brand ident viewer loyalti channel although us lead technolog moment also concern rais europ particularli grow uptak servic like sky happen today see nine month year time uk adam hume bbc broadcast futurologist told bbc news websit like bbc issu lost advertis revenu yet press issu moment commerci uk broadcast brand loyalti import everyon talk content brand rather network brand said tim hanlon brand commun firm starcom mediavest realiti broadband connect anybodi produc content ad challeng hard promot programm much choic mean said stacey jolna senior vice presid tv guid tv group way peopl find content want watch simplifi tv viewer mean network us term channel could take leaf googl book search engin futur instead schedul help peopl find want watch kind channel model might work younger ipod gener use take control gadget play might suit everyon panel recognis older gener comfort familiar schedul channel brand know get perhap want much choic put hand mr hanlon suggest end kid diaper push button alreadi everyth possibl avail said mr hanlon ultim consum tell market want 50 000 new gadget technolog showcas ce mani enhanc tv watch experi high definit tv set everywher mani new model lcd liquid crystal display tv launch dvr capabl built instead extern box one exampl launch show humax 26 inch lcd tv 80 hour tivo dvr dvd record one us biggest satellit tv compani directtv even launch brand dvr show 100 hour record capabl instant replay search function set paus rewind tv 90 hour microsoft chief bill gate announc pre show keynot speech partnership tivo call tivotogo mean peopl play record programm window pc mobil devic reflect increas trend free multimedia peopl watch want want
business, worldcom boss left book alon former worldcom boss berni ebber accus overse 11bn 5 8bn fraud never made account decis wit told juror david myer made comment question defenc lawyer argu mr ebber respons worldcom problem phone compani collaps 2002 prosecutor claim loss hidden protect firm share mr myer alreadi plead guilti fraud assist prosecutor monday defenc lawyer reid weingarten tri distanc client alleg cross examin ask mr myer ever knew mr ebber make account decis awar mr myer repli ever know mr ebber make account entri worldcom book mr weingarten press repli wit mr myer admit order fals account entri request former worldcom chief financi offic scott sullivan defenc lawyer tri paint mr sullivan admit fraud testifi later trial mastermind behind worldcom account hous card mr ebber team meanwhil look portray affabl boss admiss pe graduat economist whatev abil mr ebber transform worldcom rel unknown 160bn telecom giant investor darl late 1990 worldcom problem mount howev competit increas telecom boom peter firm final collaps sharehold lost 180bn 20 000 worker lost job mr ebber trial expect last two month found guilti former ceo face substanti jail sentenc firmli declar innoc
sport, tiger wari farrel gambl leicest say rush make bid andi farrel great britain rugbi leagu captain decid switch code anybodi els involv process still way away go next stage tiger boss john well told bbc radio leicest moment still lot unknown andi farrel least medic situat whoever take go take big big gambl farrel persist knee problem oper knee five week ago expect anoth three month leicest saracen believ head list rugbi union club interest sign farrel decid move 15 man game move across union well believ would better play back least initi sure could make step leagu union involv centr said well think england would prefer progress posit back row make use rugbi leagu skill within forward juri whether cross divid club balanc struck cost gambl option bring readi made replac
sport, yead face newcastl fa cup premiership side newcastl unit face trip ryman premier leagu leader yead fa cup third round game arguabl highlight draw potenti money spinner non leagu yead beat slough second round confer side exet citi knock doncast saturday travel old trafford meet holder manchest unit januari arsen drawn home stoke chelsea play host scunthorp non leagu side draw hinckley unit held brentford goalless draw sunday meet leagu one leader luton win replay martin allen team griffin park number premiership team face difficult away game championship side weekend 8 9 januari third place everton visit plymouth liverpool travel burnley crystal palac go sunderland fulham face carl cup semi finalist watford bolton meet ipswich aston villa drawn sheffield unit premiership struggler norwich blackburn west brom away west ham cardiff preston north end respect southampton visit northampton alreadi beaten leagu two side carl cup earlier season middlesbrough drawn away either swindon nott counti spur entertain brighton white hart lane arsen v stoke swindon nott co v middlesbrough man utd v exet plymouth v everton leicest v blackpool derbi v wigan sunderland v crystal palac wolv v millwal yead v newcastl hull v colchest tottenham v brighton read v stockport swansea birmingham v leed hartlepool v boston milton keyn don v peterborough oldham v man citi chelsea v scunthorp cardiff v blackburn charlton v rochdal west ham v norwich sheff utd v aston villa preston v west brom rotherham v yeovil burnley v liverpool bournemouth v chester coventri v crew watford v fulham ipswich v bolton portsmouth v gillingham northampton v southampton qpr v nottm forest luton v hinckley brentford match play weekend 8 9 januari
entertainment, ocean twelv raid box offic ocean twelv crime caper sequel star georg clooney brad pitt julia robert gone straight number one us box offic chart took 40 8m 21m weekend ticket sale accord studio estim sequel follow master crimin tri pull three major heist across europ knock last week number one nation treasur third place wesley snipe blade triniti second take 16 1m 8 4m round top five anim fabl polar express star tom hank festiv comedi christma krank ocean twelv box offic triumph mark fourth biggest open decemb releas us three film lord ring trilog sequel narrowli beat 2001 predecessor ocean eleven took 38 1m 19 8m open weekend 184m 95 8m total remak 1960 film star frank sinatra rat pack ocean eleven direct oscar win director steven soderbergh soderbergh return direct hit sequel reunit clooney pitt robert matt damon andi garcia elliott gould catherin zeta jone join star cast fun good holiday movi said dan fellman presid distribut warner bro howev us critic less complimentari 110m 57 2m project lo angel time label dispirit vaniti project milder review new york time dub sequel unabashedli trivial
politics, howard hit back mongrel jibe michael howard said claim peter hain tori leader act like attack mongrel show labour rattl opposit upbeat speech parti spring confer brighton said labour campaign tactic prove tori hit home mr hain made claim tori tactic anti terror bill debat someth tell someon somewher littl bit rattl mr howard said mr hain leader common told bbc radio four today programm mr howard stanc govern anti terror legisl put countri risk accus tori leader behav like attack mongrel play opposit opposit sake mr howard told parti labour would anyth say anyth claim anyth cling offic cost far year compar fagin shylock fli pig morn peter hain even call mongrel know someth tell someon somewher littl bit rattl environ secretari margaret beckett reject mr howard comment tell radio 4 pm programm labour rattl real duti tri get peopl focu michael howard record propos tri put forward countri also mani exampl see believ realli poor judgement behalf mr howard said tori polici school tax immigr crime strike chord voter sinc begin year elect year make polit weather told parti confer mr howard deni play polit rais case margaret dixon whose oper cancel seven time grab headlin parti two week ago hit back labour claim use mr dixon human shield human shield mr blair human mr howard said parti plan immigr quota also focu much media coverag racist common sens pledg cleaner hospit better school disciplin promis get rid polit correct nation curriculum give everyon chanc decent state educ come ordinari famili teenag michael howard appli cambridg today gordon brown would love stress parti commit cut tax red tape increas basic state pension line earn finish person appeal parti activist go win next elect one day abl tell children grandchildren tell mine bit play part help win famou elect elect transform countri better labour elect co ordin alan milburn said michael howard speech today confirm alway said strategi opportun forward vision countri refer appear mr howard famili confer stage mr milburn said michael howard perfectli entitl pose famili today hard work famili across britain damag plan cut 35bn public spend
politics, blair prepar name poll date toni blair like name 5 may elect day parliament return easter break bbc polit editor learn andrew marr say mr blair ask queen 4 5 april dissolv parliament end week mr blair far resist call name day parti step campaign recent down street would drawn claim say elect time matter prime minist number 10 spokeswoman would say announc elect want announc elect move signal frantic week westminst govern like tri get key legisl parliament govern need financ bill cover budget plan pass common close busi end session 7 april also seek push seriou organis crime bill id card bill mr marr said wednesday today programm almost nobodi senior level insid govern parliament expect elect call 4 5 april soon common back short easter recess toni blair whip palac ask queen dissolv parliament go labour govern offici june 2006 hold gener elect recent year govern favour four year term
sport, henman hope end dubai third seed tim henman slump straight set defeat rain interrupt dubai open quarter final ivan ljubic croatian eighth seed book place last four 7 5 6 4 victori british number one henman look cours level match go 2 0 second set progress halt rain interven ljubic hit back break seal fourth straight win henman earlier day spanish fifth seed tommi robredo secur semi final place beat nicola kiefer germani 6 4 6 4 afterward henman left curs weather umpir seven break rain match incred frustrat henman said rain umpir take control kept tell us play till end game rain come score irrelev frustrat happi form expect desert
sport, wilkinson fit face edinburgh england captain jonni wilkinson make long await return injuri edinburgh saturday wilkinson play sinc injur bicep 17 octob took part full contact train newcastl falcon wednesday 25 year old fli half start saturday heineken cup match murrayfield bench newcastl director rugbi rob andrew said fine hope get game stage 25 year old miss england autumn intern aggrav haematoma upper right arm saracen subsequ replac england captain full back jason robinson sale charli hodgson took number 10 shirt intern canada south africa australia wilkinson year disrupt injuri muscl problem follow eight month sidelin shoulder injuri sustain world cup final
entertainment, last star war children sixth final star war movi may suitabl young children film maker georg luca said told us tv show 60 minut reveng sith would darkest violent seri think would take five six year old told cb programm air sunday luca predict film would get us rate advis parent scene may unsuit 13 open uk us 19 may said expect film would classifi pg 13 roughli equival british 12a rate five previou star war film carri less restrict pg parent guidanc rate us uk pass u suitabl except attack clone got pg rate 2002 reveng sith third prequel origin 1977 star war film chronicl transform heroic anakin skywalk evil darth vader travel hell like planet compos erupt volcano molten lava go watch make pact devil luca said film much dark emot much tragedi
